2025-10-25 01:58:44 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 01:59:09 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:00:39 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:00:39 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:00:39 | ERROR    | ❌ Fallo en el arranque: module 'app.config.settings' has no attribute 'MONGODB_URL'
2025-10-25 02:01:33 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:01:33 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:01:33 | ERROR    | ❌ Fallo en el arranque: module 'app.config.settings' has no attribute 'MONGODB_URL'
2025-10-25 02:01:50 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:01:50 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:01:50 | ERROR    | ❌ Fallo en el arranque: module 'app.config.settings' has no attribute 'MONGODB_URL'
2025-10-25 02:03:10 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:03:10 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:03:10 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:03:10 | ERROR    | ❌ Error inesperado de MongoDB: Database objects do not implement truth value testing or bool(). Please compare with None instead: database is not None
2025-10-25 02:03:10 | ERROR    | ❌ Fallo en el arranque: Database objects do not implement truth value testing or bool(). Please compare with None instead: database is not None
2025-10-25 02:03:28 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:03:28 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:03:28 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:03:28 | ERROR    | ❌ Error inesperado de MongoDB: Database objects do not implement truth value testing or bool(). Please compare with None instead: database is not None
2025-10-25 02:03:28 | ERROR    | ❌ Fallo en el arranque: Database objects do not implement truth value testing or bool(). Please compare with None instead: database is not None
2025-10-25 02:04:39 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:04:39 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:04:39 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:04:39 | INFO     | ✅ Índices MongoDB creados correctamente.
2025-10-25 02:04:39 | SUCCESS  | ✅ MongoDB conectado: mongodb://localhost:27017
